Date	Open	High	Low	Close	Change (Pips)	Change (%)
Apr 08, 2019 19:00	1.12619	1.12649	1.126	1.12649	+3.0	+0.03%
Apr 08, 2019 18:00	1.12622	1.12631	1.12598	1.12616	-0.6	-0.01%
Apr 08, 2019 17:00	1.12673	1.12686	1.12582	1.12622	-5.1	-0.05%
Apr 08, 2019 16:00	1.1261	1.12687	1.12597	1.12669	+5.9	+0.05%
Apr 08, 2019 15:00	1.12611	1.12637	1.1258	1.1261	-0.1	+0.00%
Apr 08, 2019 14:00	1.12727	1.12728	1.12594	1.12609	-11.8	-0.10%
Apr 08, 2019 13:00	1.12611	1.12743	1.12599	1.12729	+11.8	+0.10%
Apr 08, 2019 12:00	1.12467	1.12643	1.1243	1.12612	+14.5	+0.13%
Apr 08, 2019 11:00	1.12429	1.1251	1.12409	1.12465	+3.6	+0.03%
Apr 08, 2019 10:00	1.12392	1.12455	1.12365	1.12429	+3.7	+0.03%
Apr 08, 2019 09:00	1.12334	1.12393	1.12306	1.12392	+5.8	+0.05%
Apr 08, 2019 08:00	1.12285	1.1237	1.12259	1.12334	+4.9	+0.04%
Apr 08, 2019 07:00	1.12269	1.12298	1.12217	1.12288	+1.9	+0.02%
Apr 08, 2019 06:00	1.12259	1.12297	1.12243	1.12265	+0.6	+0.01%
Apr 08, 2019 05:00	1.12306	1.12306	1.12251	1.12258	-4.8	-0.04%
Apr 08, 2019 04:00	1.1229	1.1231	1.12275	1.12307	+1.7	+0.02%
Apr 08, 2019 03:00	1.1225	1.12321	1.12242	1.1229	+4.0	+0.04%
Apr 08, 2019 02:00	1.12205	1.12263	1.12201	1.12254	+4.9	+0.04%
Apr 08, 2019 01:00	1.12175	1.12214	1.12148	1.12203	+2.8	+0.02%
Apr 08, 2019 00:00	1.12181	1.12213	1.12147	1.12175	-0.6	-0.01%
Apr 07, 2019 23:00	1.12183	1.12189	1.12149	1.1218	-0.3	+0.00%
Apr 07, 2019 22:00	1.12156	1.12199	1.12147	1.12187	+3.1	+0.03%
Apr 07, 2019 21:00	1.12137	1.12204	1.121	1.12151	+1.4	+0.01%
Apr 05, 2019 20:00	1.12178	1.12185	1.12147	1.12165	-1.3	-0.01%
Apr 05, 2019 19:00	1.12173	1.12179	1.12139	1.12176	+0.3	+0.00%
Apr 05, 2019 18:00	1.12156	1.12179	1.12137	1.12177	+2.1	+0.02%
Apr 05, 2019 17:00	1.12149	1.12164	1.12108	1.12158	+0.9	+0.01%
Apr 05, 2019 16:00	1.12169	1.12197	1.1213	1.12145	-2.4	-0.02%
Apr 05, 2019 15:00	1.12245	1.12245	1.12102	1.12171	-7.4	-0.07%
Apr 05, 2019 14:00	1.12253	1.12335	1.12221	1.12242	-1.1	-0.01%
Apr 05, 2019 13:00	1.12362	1.12389	1.12206	1.12257	-10.5	-0.09%
Apr 05, 2019 12:00	1.12251	1.12477	1.12171	1.12362	+11.1	+0.10%
Apr 05, 2019 11:00	1.12282	1.12293	1.12235	1.12245	-3.7	-0.03%
Apr 05, 2019 10:00	1.12291	1.1232	1.12267	1.12286	-0.5	+0.00%
Apr 05, 2019 09:00	1.12301	1.12331	1.12284	1.12289	-1.2	-0.01%
Apr 05, 2019 08:00	1.12291	1.1231	1.12246	1.12299	+0.8	+0.01%
Apr 05, 2019 07:00	1.1232	1.12341	1.12246	1.1229	-3.0	-0.03%
Apr 05, 2019 06:00	1.12265	1.12366	1.12264	1.12325	+6.0	+0.05%
Apr 05, 2019 05:00	1.12272	1.12294	1.12258	1.12266	-0.6	-0.01%
Apr 05, 2019 04:00	1.12242	1.12282	1.12236	1.12271	+2.9	+0.03%
Apr 05, 2019 03:00	1.12242	1.12249	1.12228	1.1224	-0.2	+0.00%
Apr 05, 2019 02:00	1.12244	1.12258	1.12237	1.12238	-0.6	-0.01%
Apr 05, 2019 01:00	1.12226	1.12256	1.12224	1.12249	+2.3	+0.02%
Apr 05, 2019 00:00	1.12226	1.12293	1.12195	1.12226	+0.0	+0.00%
Apr 04, 2019 23:00	1.12214	1.12241	1.12211	1.12221	+0.7	+0.01%
Apr 04, 2019 22:00	1.12208	1.12232	1.12204	1.12219	+1.1	+0.01%
Apr 04, 2019 21:00	1.12191	1.12231	1.1217	1.12203	+1.2	+0.01%
Apr 04, 2019 20:00	1.12238	1.12265	1.12199	1.122	-3.8	-0.03%
Apr 04, 2019 19:00	1.12211	1.12246	1.12194	1.12243	+3.2	+0.03%
Apr 04, 2019 18:00	1.12192	1.12238	1.12171	1.12206	+1.4	+0.01%
Apr 04, 2019 17:00	1.1219	1.12202	1.12132	1.12193	+0.3	+0.00%
Apr 04, 2019 16:00	1.12162	1.12206	1.12135	1.12192	+3.0	+0.03%
Apr 04, 2019 15:00	1.12163	1.12247	1.12147	1.12159	-0.4	+0.00%
Apr 04, 2019 14:00	1.1214	1.12191	1.12102	1.12165	+2.5	+0.02%
Apr 04, 2019 13:00	1.12176	1.12187	1.12063	1.12138	-3.8	-0.03%
Apr 04, 2019 12:00	1.12237	1.12249	1.12129	1.12177	-6.0	-0.05%
Apr 04, 2019 11:00	1.1228	1.12301	1.1222	1.12234	-4.6	-0.04%
Apr 04, 2019 10:00	1.12273	1.1233	1.12261	1.1228	+0.7	+0.01%
Apr 04, 2019 09:00	1.12318	1.12364	1.12208	1.12272	-4.6	-0.04%
Apr 04, 2019 08:00	1.12408	1.12415	1.12308	1.12318	-9.0	-0.08%
Apr 04, 2019 07:00	1.1239	1.1247	1.12335	1.12408	+1.8	+0.02%
Apr 04, 2019 06:00	1.12473	1.12473	1.12343	1.12388	-8.5	-0.08%
